id,help_id,level,num
int,int,int,int
6001,1,1,3
6002,1,2,5
6003,1,3,7
6004,1,4,8
6005,1,5,11
6006,1,6,16
6007,1,7,19
6008,1,8,20
6009,1,9,23
6010,1,10,26
6011,1,11,28
6012,1,12,29
6013,1,13,30
6014,1,14,32
6015,1,15,34
6016,1,16,36
6017,1,17,38
6018,1,18,40
6019,1,19,42
6020,1,20,44
6021,1,21,47
6022,1,22,49
6023,1,23,52
6024,1,24,55
6025,1,25,57
6026,1,26,60
6027,1,27,63
6028,1,28,67
6029,1,29,70
6030,1,30,73
6031,1,31,77
6032,1,32,80
6033,1,33,84
6034,1,34,88
6035,1,35,92
6036,1,36,96
6037,1,37,100
6038,1,38,104
6039,1,39,109
6040,1,40,113
6041,1,41,118
6042,1,42,123
6043,1,43,127
6044,1,44,132
6045,1,45,137
6046,1,46,142
6047,1,47,148
6048,1,48,153
6049,1,49,158
6050,1,50,164
6051,1,51,170
6052,1,52,176
6053,1,53,181
6054,1,54,187
6055,1,55,194
6056,1,56,200
6057,1,57,206
6058,1,58,213
6059,1,59,219
6060,1,60,226
6061,1,61,233
6062,1,62,239
6063,1,63,246
6064,1,64,254
6065,1,65,261
6066,1,66,268
6067,1,67,275
6068,1,68,283
6069,1,69,291
6070,1,70,298
6071,1,71,306
6072,1,72,314
6073,1,73,322
6074,1,74,331
6075,1,75,339
6076,1,76,347
6077,1,77,356
6078,1,78,364
6079,1,79,373
6080,1,80,382
6081,1,81,391
6082,1,82,400
6083,1,83,409
6084,1,84,418
6085,1,85,428
6086,1,86,437
6087,1,87,447
6088,1,88,457
6089,1,89,466
6090,1,90,476
6091,1,91,486
6092,1,92,497
6093,1,93,507
6094,1,94,517
6095,1,95,528
6096,1,96,538
6097,1,97,549
6098,1,98,560
6099,1,99,571
6100,1,100,582
