id,task_type,mission_type,day_title,open_time,end_time,rank_reward,mail_id
int,int,string,string,int,int,string,int
101,1,1|3,Bullets Sweep,0,86399,1,1,8300301,500|2,2,8300302,300|3,3,8300303,190|4,10,8300304,140|11,20,8300305,110|21,50,8300306,85|51,100,8300307,70|101,500,8300308,40|501,1000,8300309,20,19042
102,2,6|5,Replenishment,86400,86399,1,1,8300101,500|2,2,8300102,300|3,3,8300103,190|4,10,8300104,140|11,20,8300105,110|21,50,8300106,85|51,100,8300107,70|101,500,8300108,40|501,1000,8300109,20,19042
103,3,1|5,All for One,172800,86399,1,1,8300401,500|2,2,8300402,300|3,3,8300403,190|4,10,8300404,140|11,20,8300405,110|21,50,8300406,85|51,100,8300407,70|101,500,8300408,40|501,1000,8300409,20,19042
104,4,2|3,More Assistance,259200,86399,1,1,8300301,500|2,2,8300302,300|3,3,8300303,190|4,10,8300304,140|11,20,8300305,110|21,50,8300306,85|51,100,8300307,70|101,500,8300308,40|501,1000,8300309,20,19042
105,5,1|3,Bullets Sweep,345600,86399,1,1,8300101,500|2,2,8300102,300|3,3,8300103,190|4,10,8300104,140|11,20,8300105,110|21,50,8300106,85|51,100,8300107,70|101,500,8300108,40|501,1000,8300109,20,19042
106,6,6|4,War Rekindled,432000,86399,1,1,8300401,500|2,2,8300402,300|3,3,8300403,190|4,10,8300404,140|11,20,8300405,110|21,50,8300406,85|51,100,8300407,70|101,500,8300408,40|501,1000,8300409,20,19042
107,7,2|4,Team Competition,518400,86399,1,1,8300301,500|2,2,8300302,300|3,3,8300303,190|4,10,8300304,140|11,20,8300305,110|21,50,8300306,85|51,100,8300307,70|101,500,8300308,40|501,1000,8300309,20,19042
108,8,1|3,Bullets Sweep,604800,86399,1,1,8300101,500|2,2,8300102,300|3,3,8300103,190|4,10,8300104,140|11,20,8300105,110|21,50,8300106,85|51,100,8300107,70|101,500,8300108,40|501,1000,8300109,20,19042
109,9,2|5,Every Effort Counts,691200,86399,1,1,8300401,500|2,2,8300402,300|3,3,8300403,190|4,10,8300404,140|11,20,8300405,110|21,50,8300406,85|51,100,8300407,70|101,500,8300408,40|501,1000,8300409,20,19042
110,10,6|4,War Rekindled,777600,86399,1,1,8300301,500|2,2,8300302,300|3,3,8300303,190|4,10,8300304,140|11,20,8300305,110|21,50,8300306,85|51,100,8300307,70|101,500,8300308,40|501,1000,8300309,20,19042
111,11,1|3,Bullets Sweep,864000,86399,1,1,8300101,500|2,2,8300102,300|3,3,8300103,190|4,10,8300104,140|11,20,8300105,110|21,50,8300106,85|51,100,8300107,70|101,500,8300108,40|501,1000,8300109,20,19042
112,12,6|4,War Rekindled,950400,86399,1,1,8300401,500|2,2,8300402,300|3,3,8300403,190|4,10,8300404,140|11,20,8300405,110|21,50,8300406,85|51,100,8300407,70|101,500,8300408,40|501,1000,8300409,20,19042
113,13,3|4,Full Attack Action,1036800,86399,1,1,8300301,500|2,2,8300302,300|3,3,8300303,190|4,10,8300304,140|11,20,8300305,110|21,50,8300306,85|51,100,8300307,70|101,500,8300308,40|501,1000,8300309,20,19042
114,14,6|4,War Rekindled,1123200,86399,1,1,8300101,500|2,2,8300102,300|3,3,8300103,190|4,10,8300104,140|11,20,8300105,110|21,50,8300106,85|51,100,8300107,70|101,500,8300108,40|501,1000,8300109,20,19042
115,15,3|4,Full Attack Action,1209600,86399,1,1,8300401,500|2,2,8300402,300|3,3,8300403,190|4,10,8300404,140|11,20,8300405,110|21,50,8300406,85|51,100,8300407,70|101,500,8300408,40|501,1000,8300409,20,19042
