id,resource_id,ratio,resource_count,display_id,stronghold_level,gather_multiplier,pos_x,pos_y,name_default,model,model_red,height,width,resource_type,icon,first_open,open_time,close_time,position,honor_num,resource_num,ark_id,season_id,district_refresh_arena
int,string,string,int,int,int,int,int,int,string,string,string,int,int,int,string,int,int,int,string,int,int,string,int,int
1,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,1
2,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,2
3,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,3
4,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,4
5,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,5
6,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,6
7,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,7
8,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,8
11,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,11
12,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,12
13,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,13
14,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,14
21,1201|1205|1207|1304,5|20|20|15,340,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,21
23,1201|1205|1207|1304,5|20|20|15,340,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,23
31,1201|1205|1207|1304,5|20|20|15,300,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,,,,,100,100,,0,31
101,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,259200,10800,10800,156;322,130,130,1;2,0,101
104,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,259200,10800,10800,606;322,130,130,3;4,0,104
112,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,259200,10800,10800,606;1217,130,130,5;6,0,112
109,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,259200,10800,10800,156;1217,130,130,7;8,0,109
102,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,604800,14400,14400,222;452,160,160,9;10,0,102
105,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,604800,14400,14400,538;452,160,160,11;12,0,105
111,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,604800,14400,14400,540;1088,160,160,13;14,0,111
108,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,604800,14400,14400,220;1087,160,160,15;16,0,108
103,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,864000,21600,21600,286;572,200,200,17;18,0,103
110,1201|1205|1207|1301|1303,10|20|20|16|10,45,-1,-1,-1,-1,-1,No Man's Land,,,-1,-1,-1,yaosai_icon,864000,21600,21600,476;958,200,200,19;20,0,110
