id,buff_id,name,group,group_type,scienceId,armyId,resources,needItem,time,need_army,exchangeItem,exchangeResources,icon,atkHp,x_para,y_para
int,int,string,int,int,int,int,string,string,int,string,string,string,string,string,string,string
41001,,armyName_41000,41000,1,480001,841001,20|800,5|500000,,28800,10080,,,icon_army_FlameProductPanel001,5|1,,
41002,,armyName_41000,41000,1,480001,841001,20|760,5|460000,,28800,10081,,,icon_army_FlameProductPanel001,5|1,,
41003,,armyName_41000,41000,1,480001,841001,20|560,5|350000,,28800,10082,,,icon_army_FlameProductPanel001,5|1,,
41004,1101033,armyName_41000,41000,1,480001,841001,20|800,5|500000,,28800,13080,,,icon_army_FlameProductPanel001,5|1,,
42001,,armyName_41000,42000,1,480002,841002,20|800,7|500000,,28800,10080,,,icon_army_FlameProductPanel002,4|2,,
42002,,armyName_41000,42000,1,480002,841002,20|760,7|460000,,28800,10081,,,icon_army_FlameProductPanel002,4|2,,
42003,,armyName_41000,42000,1,480002,841002,20|560,7|350000,,28800,10082,,,icon_army_FlameProductPanel002,4|2,,
42004,1101033,armyName_41000,42000,1,480002,841002,20|800,7|500000,,28800,13080,,,icon_army_FlameProductPanel002,4|2,,
43001,,armyName_41000,43000,1,480003,841003,20|800,5|500000,,28800,10080,,,icon_army_FlameProductPanel001,5|1,,
43002,,armyName_41000,43000,1,480003,841003,20|760,5|460000,,28800,10081,,,icon_army_FlameProductPanel001,5|1,,
43003,,armyName_41000,43000,1,480003,841003,20|560,5|350000,,28800,10082,,,icon_army_FlameProductPanel001,5|1,,
43004,1101033,armyName_41000,43000,1,480003,841003,20|800,5|500000,,28800,13080,,,icon_army_FlameProductPanel001,5|1,,
51001,,armyName_41000,51000,2,490001,842001,20|800,5|500000,,28800,20080,,,icon_army_FlameProductPanel003,5|1,,
51002,,armyName_41000,51000,2,490001,842001,20|760,5|460000,,28800,20081,,,icon_army_FlameProductPanel003,5|1,,
51003,,armyName_41000,51000,2,490001,842001,20|560,5|350000,,28800,20082,,,icon_army_FlameProductPanel003,5|1,,
51004,1101034,armyName_41000,51000,2,490001,842001,20|800,5|500000,,28800,23080,,,icon_army_FlameProductPanel003,5|1,,
52001,,armyName_41000,52000,2,490002,842002,20|800,7|500000,,28800,20080,,,icon_army_FlameProductPanel004,4|2,,
52002,,armyName_41000,52000,2,490002,842002,20|760,7|460000,,28800,20081,,,icon_army_FlameProductPanel004,4|2,,
52003,,armyName_41000,52000,2,490002,842002,20|560,7|350000,,28800,20082,,,icon_army_FlameProductPanel004,4|2,,
52004,1101034,armyName_41000,52000,2,490002,842002,20|800,7|500000,,28800,23080,,,icon_army_FlameProductPanel004,4|2,,
53001,,armyName_41000,53000,2,490003,842003,20|800,5|500000,,28800,20080,,,icon_army_FlameProductPanel003,3|3,,
53002,,armyName_41000,53000,2,490003,842003,20|760,5|460000,,28800,20081,,,icon_army_FlameProductPanel003,3|3,,
53003,,armyName_41000,53000,2,490003,842003,20|560,5|350000,,28800,20082,,,icon_army_FlameProductPanel003,3|3,,
53004,1101034,armyName_41000,53000,2,490003,842003,20|800,5|500000,,28800,23080,,,icon_army_FlameProductPanel003,3|3,,
61001,,armyName_41000,61000,3,470001,843001,20|800,5|500000,,28800,30080,,,icon_army_FlameProductPanel005,5|1,,
61002,,armyName_41000,61000,3,470001,843001,20|760,5|460000,,28800,30081,,,icon_army_FlameProductPanel005,5|1,,
61003,,armyName_41000,61000,3,470001,843001,20|560,5|350000,,28800,30082,,,icon_army_FlameProductPanel005,5|1,,
61004,1101035,armyName_41000,61000,3,470001,843001,20|800,5|500000,,28800,33080,,,icon_army_FlameProductPanel005,5|1,,
62001,,armyName_41000,62000,3,470002,843002,20|800,7|500000,,28800,30080,,,icon_army_FlameProductPanel006,4|2,,
62002,,armyName_41000,62000,3,470002,843002,20|760,7|460000,,28800,30081,,,icon_army_FlameProductPanel006,4|2,,
62003,,armyName_41000,62000,3,470002,843002,20|560,7|350000,,28800,30082,,,icon_army_FlameProductPanel006,4|2,,
62004,1101035,armyName_41000,62000,3,470002,843002,20|800,7|500000,,28800,33080,,,icon_army_FlameProductPanel006,4|2,,
63001,,armyName_41000,63000,3,470003,843003,20|800,5|500000,,28800,30080,,,icon_army_FlameProductPanel005,3|3,,
63002,,armyName_41000,63000,3,470003,843003,20|760,5|460000,,28800,30081,,,icon_army_FlameProductPanel005,3|3,,
63003,,armyName_41000,63000,3,470003,843003,20|560,5|350000,,28800,30082,,,icon_army_FlameProductPanel005,3|3,,
63004,1101035,armyName_41000,63000,3,470003,843003,20|800,5|500000,,28800,33080,,,icon_army_FlameProductPanel005,3|3,,
