id,width,coordinate,name,desc,building,icon,build_width,army,occupy_cd,occupy_score,score_cd,score,score_player,first_time,fight_time,peace_time,reward_all,reward_member,box,box_outer_ring,season_id
int,int,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,string,string,int
1,10,156;332,Earthshaker Ark 1,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
2,10,156;302,Earthshaker Ark 2,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
3,10,606;332,Earthshaker Ark 3,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
4,10,606;302,Earthshaker Ark 4,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
5,10,606;1236,Earthshaker Ark 5,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
6,10,606;1206,Earthshaker Ark 6,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
7,10,156;1236,Earthshaker Ark 7,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
8,10,156;1206,Earthshaker Ark 8,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_01,icon_wenquan_fortress_01,4,901101,60,0,60,100,10,280800,3600,82800,2800102,2800101,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
9,10,222;462,Flint Ark 1,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_02,icon_wenquan_fortress_02,4,901101,60,0,60,150,15,626400,3600,82800,2800104,2800103,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
10,10,222;432,Flint Ark 2,Occupy the Ark tile; the final winning Alliance can get rewards.,wenquan_fortress_02,icon_wenquan_fortress_02,4,901101,60,0,60,150,15,626400,3600,82800,2800104,2800103,2;2;2;3;2;2;3;2;2;2|2;2;2;3;2;4;2;3;2;2|2;2;6;6;5;5;6;6;2;2|2;3;6;6;6;6;6;6;3;2|3;4;5;6;6;6;6;5;3;3|2;4;5;6;6;6;6;5;3;3|3;3;6;6;6;6;6;6;3;2|2;2;6;6;5;5;6;6;2;2|2;2;2;3;4;4;2;3;2;2|2;2;2;3;3;2;2;2;2;2,wenquan_bianjie10x10,0
