id,group_id,level,item_id,item_amount,coin,score,name,type,buff,para,icon,desc,unlock_level,condition_science,pos_x,pos_y,new_pos_x,new_pos_y,tree_type,is_open,max_level,desc_current,coin_tuning,exp,bound_buildinglevel,radiance,thor_elements,power,desc_1
int,int,int,int,int,long,long,string,int,string,string,string,string,int,string,int,int,int,int,int,int,int,string,long,long,int,int,long,int,string
300002,300000,2,300001,8,91000.0,10.0,103013,1,0,1702,null,103014,1,310006,1,3,1,2,1,1,100,,5500.0,0.0,,,,380,Building level - Gold Mine
300003,300000,3,300001,10,273000.0,13.0,103013,1,0,1703,null,103014,1,310006,1,3,1,2,1,1,100,,14540.0,0.0,,,,800,Building level - Gold Mine
300004,300000,4,300001,12,568000.0,18.0,103013,1,0,1704,null,103014,1,310006,1,3,1,2,1,1,100,,30960.0,0.0,,,,1240,Building level - Gold Mine
300005,300000,5,300001,16,1136000.0,23.0,103013,1,0,1705,null,103014,1,310006,1,3,1,2,1,1,100,,60000.0,0.0,,,,1700,Building level - Gold Mine
300006,300000,6,300001,22,2273000.0,28.0,103013,1,0,1706,null,103014,1,310006,1,3,1,2,1,1,100,,135200.0,0.0,,,,2180,Building level - Gold Mine
300007,300000,7,300001,28,4545000.0,35.0,103013,1,0,1707,null,103014,1,310007,1,3,1,2,1,1,100,,299800.0,0.0,,,,2690,Building level - Gold Mine
300008,300000,8,300001,34,9091000.0,42.0,103013,1,0,1708,null,103014,1,310008,1,3,1,2,1,1,100,,913500.0,0.0,,,,3230,Building level - Gold Mine
300009,300000,9,300001,42,20000000.0,50.0,103013,1,0,1709,null,103014,1,310009,1,3,1,2,1,1,100,,2604000.0,0.0,,,,3790,Building level - Gold Mine
300010,300000,10,300001,50,50000000.0,58.0,103013,1,0,1710,null,103014,1,310010,1,3,1,2,1,1,100,,9036000.0,0.0,,,,4380,Building level - Gold Mine
300011,300000,11,300001,60,100000000.0,67.0,103013,1,0,1711,null,103014,1,310011,1,3,1,2,1,1,100,,24370000.0,0.0,,,,5000,Building level - Gold Mine
300012,300000,12,300001,70,200000000.0,75.0,103013,1,0,1712,null,103014,1,310012,1,3,1,2,1,1,100,,61630000.0,0.0,,,,5660,Building level - Gold Mine
