id,sound_name,type,loop_interval_time,restricted_platform,usable_country
int,string,int,int,string,string
10001,cg_start_bgm,2,,,
20001,switch_base,2,,,
20002,text_input,2,,,
20003,sandtable_mark,2,,,
20004,click_ground,2,,,
20005,helicopter_through,2,,,
20006,parachute_opening,2,,,
20007,base_scenes_effect,2,,,
20008,electronmagnetic_etffect,2,3000,,
20011,unit_merge_success,2,,,
20012,buliding_merge_success,2,,,
20013,merge_failure,2,,,
20014,click_material_button,2,,,
20015,click_occupy_button,2,,,
20016,switch_combat_scenes,2,,,
20017,unit_landing,2,,,
20018,click_confirm_button,2,,,
20019,click_cancle_button,2,,,
20020,click_back_button,2,,,
20021,click_scout_button,2,,,
20022,cut_through,2,,,
20023,machine_stagnation,2,,,
20024,click_material_box,2,,,
20025,clouds_dissipate,2,,,
20026,light_mark,2,,,
20027,building_construct,2,,,
20028,unit_jump_out,2,,,
20029,fortress_interface_effect,2,5000,,
20030,click_fortress_button,2,,,
20031,radartruck_interface_effect,2,3200,,
20032,click_radartruck_scan_button,2,,,
20033,click_unusable_ground,2,,,
20034,radartruck_scan_result,2,,,
20035,open_building_menu,2,,,
20036,area_unlock,2,,,
20037,click_root_out_button,2,,,
20038,click_treaures,2,,,
20039,get_item,2,,,
20040,fly_into_bag,2,,,
20041,get_coin,2,,,
20042,get_diamond,2,,,
20043,get_exp,2,,,
20044,get_exp_one,2,,,
20045,get_exp,2,,,
20046,commander_lvup,2,,,
20047,new_uint_unlock,2,,,
20048,click_sea,2,,,
20049,new_hero,2,,,
20050,click_harvest_button,2,,,
20051,enter_alliance,2,,,
20052,switching_tab,2,,,
20053,open_bag_interface,2,,,
20054,click_battle_button,2,,,
20055,selected,2,,,
20056,building_put_down,2,,,
21000,open_general_interface,2,,,
21001,close_general_interface,2,,,
21002,get_resource,2,,,
21003,deleted_building,2,,,
21004,deleted_uint,2,,,
21005,open_bag_interface,2,,,
21006,open_mail_interface,2,,,
21007,technology_lvup,2,,,
21008,switch_world,2,,,
21009,battle_win,2,,,
21010,battle_failure,2,,,
21011,open_shield,2,,,
21012,preparation_battle,2,,,
21013,click_general_building,2,,,
21014,click_barracks,2,,,
21015,click_shipyard,2,,,
21016,click_air_base,2,,,
21017,click_arsenal,2,,,
21018,click_war_room,2,,,
21019,click_expedition,2,,,
21020,click_finance_center,2,,,
21021,click_goldmine,2,,,
21022,click_farmlands,2,,,
21023,click_oil_refining_facility,2,,,
21024,click_diamond_mine,2,,,
21025,click_odinruim_mine,2,,,
21026,click_ruins,2,,,
21027,click_missile_silos,2,,,
21028,click_city,2,,,
21029,click_fired_city,2,,,
21030,click_capital,2,,,
21031,click_warhammer,2,,,
21032,click_stone,2,,,
21033,click_wood,2,,,
21034,click_metal,2,,,
21035,click_coin_harvest,2,,,
21036,click_repair_factory,2,,,
21037,click_repair_factory,2,,,
21038,click_general_button,2,,,
21039,buliding_repair,2,,,
21040,combat_scenes_effect,2,,,
10002,base_bgm_1,2,,,
10003,combat_bgm_1,2,,,
