id,item_id,number,group,price_shop,is_open,order,cost_reason,cut_off,weight,limit
int,int,int,int,int,int,int,string,int,int,int
10101,1600029,1,1,200,1,1201,treasureshop_heroshard,100,40,1
10102,1600029,1,1,100,1,202,treasureshop_heroshard,50,10,1
10103,2300003,1,1,300,1,1203,treasureshop_heroshard,75,40,1
10104,2300003,1,1,150,1,204,treasureshop_heroshard,38,10,1
10105,2300002,1,1,60,1,1205,treasureshop_heroshard,100,100,1
10106,2300002,1,1,30,1,206,treasureshop_heroshard,50,50,1
10107,3600016,1,1,140,1,1207,treasureshop_heroshard,100,40,1
10108,3600017,1,1,140,1,1208,treasureshop_heroshard,100,40,1
10109,3600018,1,1,140,1,1209,treasureshop_heroshard,100,40,1
10110,3600016,1,1,70,1,210,treasureshop_heroshard,50,20,1
10111,3600017,1,1,70,1,211,treasureshop_heroshard,50,20,1
10112,3600018,1,1,70,1,212,treasureshop_heroshard,50,20,1
10113,2400005,1,2,90,1,1301,treasureshop_heroshard,100,10,1
10114,2400005,1,2,45,1,302,treasureshop_heroshard,50,5,1
10115,2400004,1,2,30,1,1303,treasureshop_heroshard,100,10,1
10116,2400004,1,2,15,1,304,treasureshop_heroshard,50,5,1
10117,500001,1,2,15,1,305,treasureshop_heroshard,50,5,1
10118,550003,1,2,120,1,306,treasureshop_heroshard,50,5,1
10119,3300001,20,2,60,1,307,treasureshop_heroshard,50,5,1
10120,3610009,50,2,200,1,308,treasureshop_heroshard,50,10,1
10121,920003,1,2,50,1,309,treasureshop_heroshard,33,10,1
10122,910003,1,2,50,1,310,treasureshop_heroshard,33,10,1
10123,2100002,1,2,75,1,311,treasureshop_heroshard,50,5,1
10124,2100005,1,2,200,1,312,treasureshop_heroshard,50,5,1
10125,200006,1,2,100,1,313,treasureshop_heroshard,50,5,1
10126,200003,1,2,75,1,314,treasureshop_heroshard,50,5,1
10127,1900002,1,2,25,1,315,treasureshop_heroshard,50,5,1
10128,1900003,1,2,250,1,316,treasureshop_heroshard,50,5,1
10129,2200004,1,3,200,1,1101,treasureshop_heroshard,80,10,1
10130,2200005,1,3,200,1,1102,treasureshop_heroshard,80,10,1
10131,2200006,1,3,200,1,1103,treasureshop_heroshard,80,10,1
10132,2200010,1,3,200,1,1104,treasureshop_heroshard,80,10,1
10133,2200011,1,3,200,1,1105,treasureshop_heroshard,80,10,1
10134,2200012,1,3,200,1,1106,treasureshop_heroshard,80,10,1
10135,2200020,1,3,200,1,1107,treasureshop_heroshard,80,10,1
10136,2200016,1,3,200,1,1108,treasureshop_heroshard,80,10,1
10137,2200017,1,3,200,1,1109,treasureshop_heroshard,80,10,1
10138,2200018,1,3,200,1,1110,treasureshop_heroshard,80,10,1
10139,2200022,1,3,200,1,1111,treasureshop_heroshard,80,10,1
10140,2200021,1,3,200,1,1112,treasureshop_heroshard,80,10,1
10141,2200023,1,3,200,1,1113,treasureshop_heroshard,80,10,1
10142,2200025,1,3,200,1,1114,treasureshop_heroshard,80,10,1
10143,2200027,1,3,200,1,1115,treasureshop_heroshard,80,10,1
10144,2200028,1,3,200,1,1116,treasureshop_heroshard,80,10,1
10145,2200030,1,3,200,1,1117,treasureshop_heroshard,80,10,1
10146,2200032,1,3,200,1,1118,treasureshop_heroshard,80,10,1
10147,2200035,1,3,200,1,1119,treasureshop_heroshard,80,10,1
10148,2200004,1,3,100,1,120,treasureshop_heroshard,40,5,1
10149,2200005,1,3,100,1,121,treasureshop_heroshard,40,5,1
10150,2200006,1,3,100,1,122,treasureshop_heroshard,40,5,1
10151,2200010,1,3,100,1,123,treasureshop_heroshard,40,5,1
10152,2200011,1,3,100,1,124,treasureshop_heroshard,40,5,1
10153,2200012,1,3,100,1,125,treasureshop_heroshard,40,5,1
10154,2200020,1,3,100,1,126,treasureshop_heroshard,40,5,1
10155,2200016,1,3,100,1,127,treasureshop_heroshard,40,5,1
10156,2200017,1,3,100,1,128,treasureshop_heroshard,40,5,1
10157,2200018,1,3,100,1,129,treasureshop_heroshard,40,5,1
10158,2200022,1,3,100,1,130,treasureshop_heroshard,40,5,1
10159,2200021,1,3,100,1,131,treasureshop_heroshard,40,5,1
10160,2200023,1,3,100,1,132,treasureshop_heroshard,40,5,1
10161,2200025,1,3,100,1,133,treasureshop_heroshard,40,5,1
10162,2200027,1,3,100,1,134,treasureshop_heroshard,40,5,1
10163,2200028,1,3,100,1,135,treasureshop_heroshard,40,5,1
10164,2200030,1,3,100,1,136,treasureshop_heroshard,40,5,1
10165,2200032,1,3,100,1,137,treasureshop_heroshard,40,5,1
10166,2200035,1,3,100,1,138,treasureshop_heroshard,40,5,1
10167,2200041,1,3,200,1,1120,treasureshop_heroshard,80,10,1
10168,2200040,1,3,200,1,1121,treasureshop_heroshard,80,10,1
10169,2200041,1,3,100,1,139,treasureshop_heroshard,40,5,1
10170,2200040,1,3,100,1,140,treasureshop_heroshard,40,5,1
