id,enemy_type,hero,hero_level,hero_star,hero_skill,battle_buff,enemy_config,unit_model,reward,reward_1,reward_show,gift,warrior_drop,engineer_drop,round_limit,reward_res_show,hero_exp
int,int,string,string,string,string,string,string,string,int,string,string,int,int,int,int,string,int
1001,0,,,,,,10001,10001,10001,,201001,,,,,,99,,
1002,1,,,,,,20002,20002,20002,,201002,,,,,,99,,
1003,1,,,,,,20003,20003,20003,,201003,,,,,,99,,
1004,1,,,,,,20004,20004,20004,,201004,,,,,,99,,
1005,0,,,,,,10005,10005,10005,,201005,,,,,,99,,
1006,2,,,,,,30006,30006,30006,,201006,,,,,,99,,
1007,2,,,,,,30007,30007,30007,,201007,,,,,,99,,
1008,1,,,,,,20008,20008,20008,,201008,,,,,,99,,
1009,0,,,,,,10009,10009,10009,,201009,,,,,,99,,
1010,0,,,,,,10010,10010,10010,,201010,,,,,,99,,
1011,0,,,,,,10011,10011,10011,,201011,,,,,,99,,
1012,2,,,,,,30012,30012,30012,,201012,,,,,,99,,
1013,0,,,,,,10013,10013,10013,,201013,,,,,,99,,
1014,2,,,,,,30014,30014,30014,,201014,,,,,,99,,
1015,2,,,,,,30015,30015,30015,,201015,,,,,,99,,
1016,0,,,,,,10016,10016,10016,,201016,,,,,,99,,
1017,0,,,,,,10017,10017,10017,,201017,,,,,,99,,
1018,1,,,,,,20018,20018,20018,,201018,,,,,,99,,
1019,0,,,,,,10019,10019,10019,,201019,,,,,,99,,
1020,1,,,,,,20020,20020,20020,,201020,,,,,,99,,
1021,0,,,,,,10021,10021,10021,,201021,,,,,,99,,
1022,0,,,,,,10022,10022,10022,,201022,,,,,,99,,
1023,2,,,,,,30023,30023,30023,,201023,,,,,,99,,
1024,1,,,,,,20024,20024,20024,,201024,,,,,,99,,
1025,1,,,,,,20025,20025,20025,,201025,,,,,,99,,
1026,1,,,,,,20026,20026,20026,,201026,,,,,,99,,
1027,0,,,,,,10027,10027,10027,,201027,,,,,,99,,
1028,2,,,,,,30028,30028,30028,,201028,,,,,,99,,
1029,0,,,,,,10029,10029,10029,,201029,,,,,,99,,
1030,1,,,,,,20030,20030,20030,,201030,,,,,,99,,
1031,0,,,,,,10031,10031,10031,,201031,,,,,,99,,
1032,0,,,,,,10032,10032,10032,,201032,,,,,,99,,
1033,2,,,,,,30033,30033,30033,,201033,,,,,,99,,
1034,1,,,,,,20034,20034,20034,,201034,,,,,,99,,
1035,1,,,,,,20035,20035,20035,,201035,,,,,,99,,
1036,0,,,,,,10036,10036,10036,,201036,,,,,,99,,
1037,1,,,,,,20037,20037,20037,,201037,,,,,,99,,
1038,1,,,,,,20038,20038,20038,,201038,,,,,,99,,
1039,0,,,,,,10039,10039,10039,,201039,,,,,,99,,
1040,0,,,,,,10040,10040,10040,,201040,,,,,,99,,
1041,2,,,,,,30041,30041,30041,,201041,,,,,,99,,
1042,1,,,,,,20042,20042,20042,,201042,,,,,,99,,
1043,0,,,,,,10043,10043,10043,,201043,,,,,,99,,
1044,1,,,,,,20044,20044,20044,,201044,,,,,,99,,
1045,2,,,,,,30045,30045,30045,,201045,,,,,,99,,
1046,0,,,,,,10046,10046,10046,,201046,,,,,,99,,
1047,0,,,,,,10047,10047,10047,,201047,,,,,,99,,
