id,group_id,level,reward,monster_level,star,monster_star,monster_name,monster_desc,model,icon_min,icon_max,soldier_level,soldier_count,hero_star,hero_level,component_level,csb_monster_score
int,int,int,int,int,string,int,string,string,string,string,string,int,int,int,int,int,int
1001,1,1,0,1001,,,,,,,,,,,,,2
1002,1,2,0,1002,,,,,,,,,,,,,2
1003,1,3,0,1003,,,,,,,,,,,,,2
1004,1,4,0,1004,,,,,,,,,,,,,2
1005,1,5,0,1005,,,,,,,,,,,,,2
1006,1,6,0,1006,,,,,,,,,,,,,2
1007,1,7,0,1007,,,,,,,,,,,,,2
1008,1,8,0,1008,,,,,,,,,,,,,2
1009,1,9,0,1009,,,,,,,,,,,,,2
1010,1,10,0,1010,,,,,,,,,,,,,2
1011,1,11,0,1011,,,,,,,,,,,,,3
1012,1,12,0,1012,,,,,,,,,,,,,3
1013,1,13,0,1013,,,,,,,,,,,,,3
1014,1,14,0,1014,,,,,,,,,,,,,3
1015,1,15,0,1015,,,,,,,,,,,,,3
1016,1,16,0,1016,,,,,,,,,,,,,3
1017,1,17,0,1017,,,,,,,,,,,,,3
1018,1,18,0,1018,,,,,,,,,,,,,3
1019,1,19,0,1019,,,,,,,,,,,,,3
1020,1,20,0,1020,,,,,,,,,,,,,3
1021,1,21,0,1021,,,,,,,,,,,,,4
1022,1,22,0,1022,,,,,,,,,,,,,4
1023,1,23,0,1023,,,,,,,,,,,,,4
1024,1,24,0,1024,,,,,,,,,,,,,4
1025,1,25,0,1025,,,,,,,,,,,,,4
1026,1,26,0,1026,,,,,,,,,,,,,4
1027,1,27,0,1027,,,,,,,,,,,,,4
1028,1,28,0,1028,,,,,,,,,,,,,4
1029,1,29,0,1029,,,,,,,,,,,,,4
1030,1,30,0,1030,,,,,,,,,,,,,4
1031,1,31,0,1031,,,,,,,,,,,,,5
1032,1,32,0,1032,,,,,,,,,,,,,5
1033,1,33,0,1033,,,,,,,,,,,,,5
1034,1,34,0,1034,,,,,,,,,,,,,5
1035,1,35,0,1035,,,,,,,,,,,,,5
1036,1,36,0,1036,,,,,,,,,,,,,5
1037,1,37,0,1037,,,,,,,,,,,,,5
1038,1,38,0,1038,,,,,,,,,,,,,5
1039,1,39,0,1039,,,,,,,,,,,,,5
1040,1,40,0,1040,,,,,,,,,,,,,5
1041,1,41,0,1041,,,,,,,,,,,,,6
1042,1,42,0,1042,,,,,,,,,,,,,6
1043,1,43,0,1043,,,,,,,,,,,,,6
1044,1,44,0,1044,,,,,,,,,,,,,6
1045,1,45,0,1045,,,,,,,,,,,,,6
1046,1,46,0,1046,,,,,,,,,,,,,6
1047,1,47,0,1047,,,,,,,,,,,,,6
1048,1,48,0,1048,,,,,,,,,,,,,6
1049,1,49,0,1049,,,,,,,,,,,,,6
1050,1,50,0,1050,,,,,,,,,,,,,6
1051,1,51,0,1051,,,,,,,,,,,,,7
1052,1,52,0,1052,,,,,,,,,,,,,7
1053,1,53,0,1053,,,,,,,,,,,,,7
