id,reward,army,rand_play,rand_para,rand_weight,treasure_comment,treasure_proverbs,army_relalevel,army_maxlevel
111019,,10007|3;10006|5,,,,,,,
112007,,10009|3;10008|5,,,,,,,
112002,,10011|3;10010|5,,,,,,,
112005,,10013|3;10012|5,,,,,,,
112021,,10014|3;10013|5,,,,,,,
113004,,10021|3;10020|5,,,,,,,
113024,,10025|3;10024|5,,,,,,,
113023,,10023|3;10022|5,,,,,,,
113026,,10027|3;10026|5,,,,,,,
113025,,10028|3;10027|5,,,,,,,
113030,,10028|3;10027|5,,,,,,,
113031,,10029|3;10028|5,,,,,,,
113027,,10030|3;10029|5,,,,,,,
113028,,10032|3;10031|5,,,,,,,
113029,,10032|3;10031|5,,,,,,,
114031,,10033|3;10032|5,,,,,,,
114032,,10033|3;10032|5,,,,,,,
114008,,10034|3;10033|5,,,,,,,
114002,,10035|3;10034|5,,,,,,,
114006,,10036|3;10035|5,,,,,,,
114034,,10037|3;10036|5,,,,,,,
114010,,10037|3;10036|5,,,,,,,
114036,,10038|3;10037|5,,,,,,,
114037,,10040|3;10039|5,,,,,,,
114009,,10041|3;10040|5,,,,,,,
114013,,10043|3;10042|5,,,,,,,
114015,,10043|3;10042|5,,,,,,,
115060,,10046|3;10045|5,,,,,,,
115005,,10048|3;10047|5,,,,,,,
115009,,10051|3;10050|5,,,,,,,
115018,,10051|3;10050|5,,,,,,,
115021,,10052|3;10051|5,,,,,,,
115025,,10053|3;10052|5,,,,,,,
115028,,10054|3;10053|5,,,,,,,
115031,,10055|3;10054|5,,,,,,,
115034,,10055|3;10054|5,,,,,,,
115040,,10057|3;10056|5,,,,,,,
115043,,10058|3;10057|5,,,,,,,
115046,,10060|3;10059|5,,,,,,,
115049,,10064|3;10063|5,,,,,,,
115054,,10064|3;10063|5,,,,,,,
115057,,10064|3;10063|5,,,,,,,
122001,20221100|20221100|20221100|20221100|20221100|20221100|20221100|20221100|20220010|20220010|20220010|20220011|20220012|20220012|20220013|20220013|20220014|20220014|20220015|20220015,,,,,Dear Gyrafine with Piercing Eyes:|Surprise! It's me!! Sorry for taking so long to write...|Thanks to the woman Papa Oak met. She promised us she would send you the letter. I looked at her; and all I could think of was you.|Hope she's not fooling us and you receive this letter.\n\n,Stand as tall as tall as the trees; live strong like the mountains; be as gentle as the spring winds; keep the warmth of the summer sun in your heart; and the great spirit will always be with you.,,
121004,20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220020|20220021|20220021|20220021|20220021|20220021|20220021|20221122|20221122|20221122|20221122|20221122,,,,,G!|The Freedom Legion's men are all wearing Big Boots. They couldn't walk fast enough in the woods.|Their tactics are strange... Freedom League?? they wouldn't even allow us to walk around or even leave a message... But I will write to you as I wish; they will never find out!|They do not understand the forest. They need us; or else they are doomed to decay on the forest floor.\n\n,I know this is not my destiny. No matter what happens; I have to live in the present.,,
115101,,,1,201006,1,,,,
115102,,,2,20210890,1,,,,
115103,,,3,10020;5,1,,,,
115104,,,4,5155,1,,,,
