id,building,system_unlock,science
int,string,string,string
1,1801,,
2,,,
3,,,
4,1901|2001,2,
5,,3,
6,2101|2201,,
7,,5,
8,,4,
9,,6,
10,2501|2401,7,
11,,,
12,,8,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,9,
19,,,
20,2701|2801|2901,,
21,,,
22,3001|3801,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,324001
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,3101,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
