id,item_id,get_coin,return_coin,is_open,order,plat
int,int,int,int,int,int,string
1,20201001,10,11,1,1,
2,20201002,10,11,1,2,
3,20201004,10,11,1,3,
4,20201006,10,11,1,4,
5,20201016,10,11,1,5,
6,20201017,10,11,1,6,
7,2010081,10,11,1,7,
8,20201029,10,11,1,8,
9,2010091,10,11,1,9,
10,2010092,10,11,1,10,
11,2010093,10,11,1,11,
12,2010094,10,11,1,12,
13,2010095,10,11,1,13,
14,2010096,10,11,1,14,
15,2010097,10,11,1,15,
16,2010098,10,11,1,16,
17,2010100,10,11,1,17,
18,20201003,4,5,1,18,
19,20201005,4,5,1,19,
20,20201007,4,5,1,20,
21,20201008,4,5,1,21,
22,20201015,4,5,1,22,
23,20201030,4,5,1,23,
24,20201031,4,5,1,24,
25,20201032,4,5,1,25,
26,20201033,4,5,1,26,
27,20201034,4,5,1,27,
28,20201035,4,5,1,28,
29,20201036,4,5,1,29,
30,20201037,4,5,1,30,
31,20201039,4,5,1,31,
32,20201040,4,5,1,32,
33,2200076,30,33,1,33,
34,2010104,40,44,1,34,
35,2611345,20,22,1,35,
36,20201046,2,3,1,36,
37,20201047,20,22,1,37,
38,20201048,200,220,1,38,
39,2200104,30,33,1,39,
40,2010103,10,11,1,40,
41,2010105,10,11,1,41,
42,2010106,10,11,1,42,
43,20201041,4,5,1,46,
44,20201042,4,5,1,47,
45,20201043,4,5,1,48,
46,20201049,4,5,1,49,
47,20201050,4,5,1,50,
48,2010102,30,33,1,51,
49,211011,150,165,1,52,
50,1700307,4,5,1,53,
51,1700308,120,132,1,54,
52,39200607,4,5,1,55,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|quickhuaweinj|webgame|qqmini|qqwanba|qqgame|appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|appiosviet|googleplayviet
58,20201055,4,5,1,56,
61,9400002,10,11,1,57,
62,2010107,10,11,1,58,
64,3900091,40,44,1,59,
65,39200013,40,44,1,60,
66,39200024,40,44,1,61,
67,39200123,40,44,1,62,
68,39200155,40,44,1,63,
69,39200163,40,44,1,64,
70,39200391,40,44,1,65,
71,39200493,40,44,1,66,
72,39200497,40,44,1,67,
73,39200532,40,44,1,68,
74,39200536,40,44,1,69,
75,39201002,40,44,1,70,
76,39200546,40,44,1,71,
77,39201009,40,44,1,72,
78,2200101,40,44,1,73,
79,2200106,40,44,1,74,
80,9400005,40,44,1,75,
81,2200108,40,44,1,76,
82,20201054,40,44,1,77,
83,20201045,40,44,1,78,
84,9400003,2,3,1,79,
85,9400004,2,3,1,80,
86,20201051,2,3,1,81,
87,20201052,20,22,1,82,
88,20201053,200,220,1,83,
89,211012,200,220,1,84,
90,20201044,200,220,1,85,
91,2611342,2,3,1,86,
92,2611343,2,3,1,87,
93,39200088,4,5,1,88,
94,39200079,4,5,1,89,
95,39200087,4,5,1,90,
