id,name,desc,power,score,build_count,level,max_level,type,group,height,width,tap_count,point_type,is_open,is_destroy,player_level,recall_file_path,prefab,model,color,repair_art,is_border,iconSrc,iconType,shortcut_icon,shortcut_name,order,client_type,repair_level,repair_cost_coin,repair_cost_oil,build_coin,upgrade_coin,produce_time,para,produce_type,produce_coin,worker_offset,click_sound,atlas,atlas_path,scale_para,x_para,y_para,area,quality,buff_id,buff_max_num,is_buy,build_resource,decorations_material,building_change,show_plat,show_time,show_endtime,switch_load,treasure_obtainways,treasure_debris,treasure_pic,treasure_buffdisplay,disable_merge,hide_level,no_deletion,para_v1,buff_ext,unlock_after_zone,unmovable
int,string,string,long,long,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,int,string,string,int,int,int,int,int,long,long,long,long,int,long,string,string,string,string,string,string,string,int,int,string,int,int,string,string,int,string,string,string,string,string,string,string,string,int,int,int,long,string,int,int
1031,106927,106928,100.0,0.0,0,1,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_1,building_lianyouchang_1,,building_minju_0,,,,btn_function_lianyouchang,110118,999999,1,1,50,0,500.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1032,106927,106928,100.0,0.0,0,2,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_2,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,1000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1033,106927,106928,100.0,0.0,0,3,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_3,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,2000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1034,106927,106928,100.0,0.0,0,4,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_1,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,4000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1035,106927,106928,100.0,0.0,0,5,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_2,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,8000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1036,106927,106928,100.0,0.0,0,6,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_3,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,16000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1037,106927,106928,100.0,0.0,0,7,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_1,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,32000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1038,106927,106928,100.0,0.0,0,8,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_2,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,64000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1039,106927,106928,100.0,0.0,0,9,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_3,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,128000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
1040,106927,106928,100.0,0.0,0,10,10,1,1030,2,2,1,1,0,0,1,,building_lianyouchang_1,,,building_minju_0,,,,btn_function_lianyouchang,110118,80,1,1,50,0,256000.0,0.0,60.0,300.0,3,50.0,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,sound/building_oil,,,,,,,1,,,1,,,,,,,,,,,,,,,300.0,,,
